,start_lat,start_lng,end_lat,end_lng,trip_duration,hour,month,distance_km,speed_kmh
count,7304494.0,7304494.0,7304494.0,7304494.0,7304494.0,7304494.0,7304494.0,7304494.0,7304494.0
mean,40.73684162280501,-73.97201520709356,40.73682747288719,-73.9721645389672,10.369356631956071,13.806157962481727,2.1424568217866975,1.8177625197144651,11.613704220664548
std,0.041011365717946544,0.07138905714547586,0.040930772650612825,0.07139124104830863,15.363503479957885,4.931945675199387,0.8395242717852274,1.5469265074414456,4.17852284636804
min,34.014863,-118.481518,34.014863,-118.481518,1.0003,0.0,1.0,0.0,0.0
25%,40.71310702305908,-73.99177,40.713126,-73.99191,4.554566666666667,10.0,1.0,0.8072911050520276,9.039748844439606
50%,40.736502,-73.97966069,40.736502,-73.97973776,7.52565,14.0,2.0,1.363385011130617,11.643401190410511
75%,40.76009437,-73.9557689392,40.75992262,-73.9558732509613,12.621016666666666,18.0,3.0,2.3217685137144857,14.390094179923882
max,40.8863,-73.84672,40.8863,-73.84672,1439.9379833333332,23.0,12.0,23.96002843244404,32.264375001119774
